,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,9159864.482903928,1991804.7958172713,875147.2541800225,827575071550.4664,26763174.665409643,7836370.299372587,24521081.945312828,26879379.726493,2664181.807096418,2011289.3150325853,8547888.50113333,8220916.469436631,2634895.6561845983,2495413.4480071347,2453122.1086779963
1,8575435.797397057,2047504.8968181428,856132.4728065488,870731231505.209,25040338.768184863,7839704.412420078,25580590.298830748,27780824.660191517,2573087.9614174687,2057807.0672558257,9299220.456385292,8203195.26787681,2411676.408501685,2720962.6581654856,2559704.2509350767
2,8763309.867677715,2085192.4420120455,873825.8301538733,861248951546.7522,24629775.26755169,7837098.811950216,27565338.154942952,27027057.089659024,2638257.429178596,2111632.553721095,8424690.445178956,8578991.455937982,2524649.270046195,2507222.7711082418,2556948.425851574
3,9427990.43228532,2019848.502931392,872665.3030705419,805342548700.9288,25978176.46704041,8006935.540726654,27324590.522572353,26010765.20426565,2669419.645725891,2163747.2297123866,8448801.450708626,8378656.41972611,2535113.0197122796,2526094.480794698,2539912.3207291956
4,8974145.500121549,2169307.7478460674,810915.6162083957,866775482963.5653,24727769.285817906,8113974.732780155,24778156.87031846,24502499.467809893,2720299.2119155293,1911966.0575139497,8114515.609330937,8749896.63135774,2585561.300307973,2655475.2002114356,2511749.2133515156
5,8812385.37259709,2112059.581509432,894767.6600864284,812229366102.1111,24249704.971656606,8170548.014678985,24464965.318272777,27478390.391961507,2798663.770527404,1980350.2064178323,8423057.524715697,8144138.032781273,2659894.1979398653,2440561.4457146307,2534796.6649389197
6,8806423.098415354,2129834.9914466487,797431.97077259,807993178752.038,24841895.93287507,7717660.378750392,26173010.916055374,24167401.97040813,2564222.9954472287,1884325.2434543138,9188923.49290263,8645071.063753404,2680776.0951453135,2531522.2254115427,2454186.2238156935
7,8073952.174532127,1966399.0624700978,848537.5534980855,855375798892.9136,26388357.648236044,8329273.603350295,25447729.670071587,25439756.72312748,2715153.9014828354,1863039.3395955318,8367564.348950727,8333630.4640232865,2609062.6607975257,2808190.3555177874,2720038.71293021
8,8604945.815985257,1921657.9863867417,879198.1266540459,836251553694.4519,26912506.553720668,7502269.333992131,26276629.22797314,25434293.29758122,2580435.327338555,2041445.779437768,9079167.159251513,8675326.276457647,2683367.5239690603,2549247.113653765,2811523.694961251
9,8422851.115970075,2033045.2885587586,899721.4503799905,902153680511.4225,27631045.485089228,7434187.2973405495,23969099.967274457,25735009.25701959,2476404.591665062,1934350.629201767,8456579.909144664,8238653.065075905,2547977.439778716,2583387.126360488,2705129.3438323117
10,8927180.507441413,2044083.643300269,893335.4451926816,885130748401.0209,25764463.73646618,7852617.745950071,25877942.727046687,28053476.10760542,2508638.7415532735,1988924.0832443936,8702675.51004169,8477005.565420048,2430419.1386169926,2653223.969222705,2567414.2628778443
11,8526888.41753044,1902456.451036868,927090.1930946009,858352114864.2095,26374155.50328455,8106853.83319016,24590498.2933461,25780525.09609635,2722745.101972063,2065598.190313025,8669298.799749846,9374219.41715055,2727670.9110936997,2797291.438081243,2606950.410941037
12,8900221.390209448,2018555.1430036442,862960.2088870595,896651715975.8972,25138990.9187968,7796068.167044798,24987225.29294479,25076201.71788209,2507118.4337379993,1883309.8730824008,8807290.334548859,8973841.752169076,2442102.7376339682,2528743.704743755,2626357.503584509
13,8555398.016283425,1931176.2295104126,878635.7166149622,885180009642.0634,23807722.76970382,7536607.795870744,26931602.951007295,25635870.566456527,2627644.3742159633,2000566.666653498,8399741.23450942,8449721.118834281,2663995.2813170096,2635789.516836953,2703431.644692305
14,9251093.642547635,2083870.5031101971,924680.9468518321,850213698042.1849,23934621.865444537,8383460.734966859,24823721.678008262,24087692.695978746,2554087.840521578,1905616.8961091002,8719790.273280138,9011277.364611048,2702751.781665285,2652971.7690318553,2609568.574073902
15,8877545.617644876,2074805.8923369627,835853.4042160341,865312157140.0217,26447550.968428362,8064559.470302589,25438444.92689361,25727421.203091744,2571804.822226053,1890023.5445631195,8578191.395643251,8879410.56909262,2629054.9145580684,2571026.812390616,2480211.9946010467
16,8338658.484410018,2089474.7195103168,873373.4804954716,889390729806.9524,25750337.10072693,8515428.00225447,26035917.297644157,26335308.92145623,2577696.2205180563,2077092.3099572212,9130078.065980779,7832164.4745826535,2542031.511067351,2612020.446585073,2440160.156627362
