,Teslin_DOC / micromolar,Pelly_DOC / micromolar,White+Donjec_DOC/ micromolar,Stewart_DOC / micromolar,Porcupine_DOC / micromolar,Tanana_DOC / micromolar,Koyukuk_DOC / micromolar
0,405.92373392025047,672.5295639419323,654.6491548358349,664.1437440464974,510.40759345093846,316.5641932191724,202.2083229230095
1,416.2497678704111,675.333069251466,699.7583181536327,663.0737667755385,502.7228225180477,312.9695716602679,193.66978840823776
2,381.0200728610546,650.9425486760944,647.0086803388849,642.796047538135,523.0835073472481,296.2522041758585,190.4733716812665
3,387.64163809106367,714.6146674253271,656.6720651726275,669.6723008789015,501.31335117356144,302.981384114222,206.88224105504727
4,394.5991196135783,738.24077247491,621.0611231708424,642.6847996814342,486.9836706543264,319.28318550617024,203.42586020259054
5,358.9172303574999,656.2673164044884,672.3769925064728,649.8851037475522,516.0561873151804,322.5622578611337,202.99340430422876
6,370.88678736396656,634.8738679863926,629.3182878280775,692.5542666576224,503.4538434479099,339.54428303103737,196.7617451444952
7,395.58941582515376,689.8732269162101,662.2505767970551,663.9324928853429,526.4027470645696,327.97617246600265,206.73438337088626
8,382.52539549067336,692.5122084893026,638.1352418522,728.9413708690232,499.71387756363987,288.9222943069823,205.35853098568157
9,401.7875340213358,624.6012306596687,718.3526140959192,693.1775880511591,483.3551138297378,316.17470439898915,201.55427179195976
10,380.47955818963806,649.1867894012801,712.867092488493,678.9998542253397,515.0738001140439,319.90236060859695,204.25764496072833
11,387.11109320138524,684.816080203605,675.5269478537084,701.1549109166315,544.0301956236174,326.6215632078504,186.2282738296853
12,383.442199845372,685.1415795493176,669.5121027054698,675.3555163219603,497.52141188553946,311.5507978117999,179.4409596609391
13,409.2832912994649,698.6506086516049,656.7768084674817,668.5315090307962,496.78454236092495,326.0803257384568,195.73716865747306
14,395.41886339956983,680.5710700121332,667.9747657155115,687.5746369238365,537.8906319189766,308.56248039522137,192.42137417172341
15,404.16940304616037,639.212716674622,662.0645834911472,646.8303321769939,518.2408731214152,307.9475672011983,190.54406374658498
16,370.25687628746067,693.3839782790714,685.1037706742447,728.5060222404967,509.8767787497632,335.2794194603494,211.20937047683145
17,377.1131586880478,681.7834624802853,662.4584791463548,646.0789729993216,529.8720992565311,317.1998734901472,204.77858871636084
18,413.903944032911,646.0213696439196,607.328650099893,675.6817420165326,457.44528276879527,317.7595608847739,202.40784117070933
19,393.3287638023787,621.9020557580683,630.5769602021943,673.6396664307076,471.04724842689546,330.33955759643266,196.71379717701302
20,384.4108679942584,688.8502238067025,639.0514070750248,628.2660643452095,517.7764968240255,318.7171494644502,197.10760733890362
21,389.7312201558208,691.9058649365387,690.001731772406,694.268330268897,483.485404891215,307.1241362702157,200.81751598554163
22,395.8727843629798,662.0597522824565,613.5040505064736,643.3907386285603,512.2072288933276,318.6634902416298,206.73794678054622
23,410.0655303681124,723.3919673305126,617.8831834481055,660.5583873600144,497.1463660127241,318.6214663111806,205.43047326704067
24,407.9495043950986,678.0959641704806,672.7196887358186,633.8650728110409,517.1585817411856,319.68303025966185,202.91992571960353
25,394.0340533123627,714.7009639469132,619.6388958677868,662.2107469450307,491.19130858511966,322.00190983281936,192.80919091587973
26,398.4199068791406,647.5680127349096,656.2292956180437,694.8944228465931,503.56338342944235,314.8611859744413,194.73055943184315
27,398.1259287411019,651.9882154661187,613.5648766368173,631.8410319528579,516.4349742441602,304.76774196790797,194.86769097595973
28,380.88645652555397,668.9150953788626,657.2873987875221,642.3208615819065,505.75542653402607,309.3628111653668,193.45886330036984
29,407.21602417506654,715.736700249564,629.2971355039796,702.454851091988,492.1811993801318,319.2789410641135,212.83156892022413
30,419.70540153081856,684.8604909821538,701.4871672822994,644.5489646026883,506.78316158203995,299.9615021136644,196.21562267538567
31,368.64591529797866,658.6540796904773,635.5558924862482,684.0514724144001,495.500346764646,328.18546750332507,191.5664005304481
32,375.90083226436593,707.7200776782217,656.5872132345055,654.5279781428335,489.5540191809369,315.5557857719408,188.4016511261052
33,398.23431991119566,708.6175944169726,703.9321380393213,694.9902849876513,491.77438549911136,309.37925646627855,181.23352157877005
34,367.8791738931043,618.594202231701,664.3005592676286,708.3243413467868,494.4412685441645,293.51809638080823,212.4493045039228
35,409.37936923945233,685.9441234829162,664.467496962468,668.7442258542912,506.1914520533163,329.40216930934696,209.48827352616522
