,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,8513798.002093691,1911011.734706678,872721.6357272632,912998531996.9674,24415060.12862086,7482426.28314274,25107671.16401178,25122374.675072554,2423846.1680437904,1864066.6916894428,8388406.915554911,8039047.0849043345,2623047.507268658,2682146.147087086,2540057.1773336306
1,8993027.850928226,1920607.686023855,902444.4874913514,835048275841.1239,24629025.695752673,8455339.524892097,25281541.14697262,27811714.80398434,2591162.0127179795,2009550.177884151,8929691.384014415,8397923.44074269,2579453.411906591,2596833.138263495,2621734.722062758
2,8005503.171321657,2038536.0677812905,905064.2949247997,860081429495.5437,24688546.100836296,8324874.002899876,26608660.97774134,25182153.513560392,2617557.2900816468,2071438.0439086906,8071931.288296692,8848355.321574546,2760549.5013674153,2543268.780043396,2773674.0092814984
3,8462000.535930548,1974233.784722409,862190.7012833079,926215212249.3357,26808155.547626488,8222646.887300501,27283217.221430153,26577742.539962374,2461538.463016903,1980876.2454084961,8538029.574205184,8166259.45125395,2508770.8202131386,2718873.9747183677,2488524.7194706607
4,8540376.955167469,1951194.117286912,881952.2632321296,888439617332.6146,24667209.238176897,7820292.67450334,24591753.27588977,26133518.351673312,2502713.6489255605,2082302.9961569514,8813067.229048707,8821276.205262957,2539089.0092086145,2375447.4407904786,2383729.619229843
5,8925592.530816728,2007966.989546683,914532.0759465871,916160966925.4102,24820376.935838714,7675246.712462784,24837454.373215355,24203314.11967995,2573060.392874549,1999973.246943096,8644443.13709359,8620051.684817377,2615427.54190594,2761020.6976484465,2717996.332777278
6,8734544.327290818,1945458.8531315557,835324.8524687951,864216898188.4028,28174150.27378019,8022795.366960887,26076114.474258024,27517902.64049063,2769840.480819531,1972455.336196415,8569458.797589717,8617782.70123813,2530294.6094602635,2674001.915766109,2581644.162654731
7,8381326.323656741,2057234.1060691054,817545.7791031947,843880886226.8914,27356595.436705038,7564021.780237282,26595819.422897544,24751387.896042734,2732425.215486908,2035815.731829283,8800710.62832461,8764252.825588277,2576250.689988514,2657219.511397711,2469517.3183621
8,8594173.53377518,2058711.8164306951,898098.7093651997,885824380929.8508,24432835.60662809,8024704.868457334,27218120.19641609,23986389.00237728,2507946.085044094,1823834.5659152684,9157041.484094711,8743111.984873215,2631184.2053860603,2743182.1248919405,2387573.1667490676
9,9154940.799106015,1948030.651264557,805186.9673624249,882405792234.7793,24924362.14709276,8103100.164583126,27244906.470540147,25011409.907677196,2625988.870300685,1913377.546912077,8206577.782037469,8814679.600177737,2604366.483773152,2773834.6629577596,2411844.8630607254
10,8174807.024438775,1932494.264425838,856997.1827732737,885330993475.2799,25778368.217213254,7615045.828904768,23539276.390049018,26226540.26311609,2572215.816375401,1850872.293543249,9430577.035683306,8944217.095396213,2662636.9058335945,2384710.4475884056,2644026.949963218
