,Teslin_DOC / micromolar,Pelly_DOC / micromolar,White+Donjec_DOC/ micromolar,Stewart_DOC / micromolar,Porcupine_DOC / micromolar,Tanana_DOC / micromolar,Koyukuk_DOC / micromolar
0,437.22508964551815,843.4631401610366,956.7598521938369,888.3265069326819,538.9067777380111,423.79414678305994,181.54085880595935
1,292.3529134457524,560.5659363594474,858.8882922659154,641.6555861872575,432.149046058309,333.5594448302975,253.86306667498013
2,418.3157227007176,768.2219332978343,998.5055768971523,643.1704164136917,582.8471214052934,366.48332782564154,235.9860265476895
3,458.4440322955199,523.509998062272,642.7278231453447,1063.8022887259478,554.9072917129455,364.02839235526085,218.42411539214137
4,424.6261525636776,654.4969908051493,619.7917982007849,775.5558665972856,563.687267297737,285.2918444480313,212.18960907386918
5,471.930573880954,886.6899412180992,702.6794189265173,808.8084830526013,417.5316454596468,323.0896615447582,209.10387511602153
6,453.80981716000724,611.1218834348033,741.5825885844641,768.1264178852954,486.67977857320375,399.2032697150006,216.01585850666666
7,429.9048865528091,1011.1580954071142,509.74032066177676,901.2718230759315,583.7706201593717,316.4091987326186,170.07911398636236
8,459.7598757175099,790.6279758052688,699.9733961764932,568.1858110022674,489.5859548935755,376.007345416445,164.9512421499406
9,401.5584350001693,561.8867475158049,868.2507078141164,918.7448273511031,425.2152183694739,355.1507608133144,198.16952310948514
10,427.2161825981954,797.523979657181,537.9003392291513,525.3208072402689,447.15562733239585,289.98783350026764,214.90392940269544
11,377.957115458068,709.532222648757,768.3160697478871,566.1048353224733,508.7439987175822,237.83939583433465,188.66473195281193
12,455.127405538272,742.117998585522,822.9104819082839,685.1802527170339,441.3873756484098,239.5912607279176,286.72405854187434
13,418.50371184609094,561.0831242559524,795.7500066906274,545.6932462499406,450.6851768274676,379.1894755000417,200.42364919570363
14,375.12400710003527,585.323681755874,885.2960562635643,913.4721046403174,420.7501817056022,322.42308728219194,226.7866731875287
15,536.8171084182547,584.6772391349689,510.9172133383323,722.9337608306403,434.725234665765,300.2787111782118,272.1460959567049
16,413.7664408157574,591.365571124745,804.5088337575663,589.9824990967426,644.622991711776,390.1022103925368,291.3211047538767
17,519.6394876264593,597.1996021040211,852.8826598912221,769.0950847573671,626.2512884591393,300.2059996068002,258.5562553242306
18,444.36768564493343,543.5640255377965,649.605285654461,629.1270232947351,410.92545376603465,380.06064379962106,173.16421328428493
19,403.3650761757909,765.2517909250224,789.4033058246093,817.8044326514666,400.6189310986373,283.8999222113018,245.43958796839797
20,380.0701035559512,839.5213767261255,902.6280494960226,887.1077543560592,562.5505478349697,344.2406872627883,267.04286854973844
21,330.2678574364841,861.898090965038,642.9410930031744,854.7702569535647,435.6877908592174,486.7804954057649,263.79430637962037
22,608.3787851060035,1092.7581359785768,714.7945774135623,556.5185704982964,723.5910246799357,331.80748778675974,166.83976511603692
23,435.64158064416625,622.1334162822533,740.2139280598223,685.935722972446,544.3810931561788,351.3750423831656,294.9097173805102
24,312.0034208472163,823.3080710384562,586.4146209440144,520.5606323493608,662.9783789196142,286.74702827775656,171.7931847553084
25,331.7676202370613,718.5085159215394,847.3110839189401,560.6796707823135,673.2245125911709,260.6088372833056,246.41503965612185
26,402.7551697038899,800.3551021164387,743.9146187298032,922.6532189507996,671.11346373361,351.69078534022174,155.92894077236417
27,464.36480375973395,590.5079197509687,889.0157105798354,787.4058229321816,548.1935043965503,316.44138665169544,158.54657002321318
28,411.30322786649543,578.3859871960589,570.1021363640571,694.5074073074016,510.32739475767573,456.3077561051291,171.65095127065595
29,402.2284189461893,875.713599595951,900.2315163900046,667.5024959460713,478.5851929646377,409.7875821826816,188.69639348033155
30,382.3119213450498,743.0825877873239,624.356167107359,626.1442198176477,444.63023615923277,320.30697840722905,213.46318071636642
31,327.16588531360594,614.1863539967513,836.4586522967992,533.0260626405603,389.29429638774803,294.62315695951725,192.18605056170043
32,356.105354113767,730.2323115729522,585.4521577025146,990.5138222455098,565.5989363720081,402.36907760626895,209.3140810910561
33,335.7618569336662,521.8489873904376,767.5606433754975,862.5706268695267,609.4976945214353,300.1535018226086,234.53915385010262
34,469.50378908074583,840.0018342709769,613.8618043646234,560.289680938957,512.5834745890637,331.3026535018916,151.8788859996976
35,418.06153324587194,518.8948960556806,590.3539281529205,589.6990784430336,448.2236941317028,326.9056902165702,228.91941092828046
36,374.6789006522275,958.4672512824372,630.0579812218298,571.2811511879348,513.5261069658967,356.97764260763296,199.18613706526304
37,479.85636744317395,768.4993452351466,684.5084724632516,664.4193384962052,512.9541946033808,273.63741411701034,228.90038500156444
38,455.83696820733235,857.0418922051136,820.1406412665931,928.2615095828746,646.3837498036503,301.96501751779516,276.12053768593495
39,356.2738102271398,893.6488987255161,661.8781329203806,641.9671603404611,585.2924604958171,381.9724146266007,175.97378726508677
40,363.3233776904194,676.312983818669,719.4672174774887,734.4791249778247,629.6574074696672,284.29484857895847,164.0406891429693
41,411.64176919028176,1093.9690008929535,850.7492544384636,546.3687490890495,572.6081287185336,278.967141535947,206.50708982419363
42,425.20892918000925,857.9612458980259,767.2397196790112,666.262878473654,602.2090117211145,422.838530426323,218.09558495635662
43,474.6666105822253,518.3359440923559,712.0442802829149,681.5333736108528,538.5739555246402,281.8426183539108,150.32275193576737
44,335.7272608585652,728.7631158135935,781.804508806812,595.7905026384175,499.6503844549398,450.7316852161448,285.8027828473581
45,314.85492530995407,639.2421481014184,650.9029642211843,971.9838698012127,386.2483129349438,253.4322527344134,186.80517219465764
46,412.6172708362929,968.0698226125444,596.096205338553,829.7389580024117,713.3199807294949,285.8923641153639,219.45057675571235
47,577.2495658918779,577.6175721477075,784.4635324491187,687.595209983087,542.1954091232118,338.4547491189707,267.72201231573456
48,396.40366753606816,568.062310311815,592.1097607608384,776.7860076620198,444.8404291797072,417.31547634004085,186.57833622968639
49,482.55260766071734,609.5425606496508,680.9932087663249,544.3478974818731,583.363441779836,260.23224744347607,165.77717725829072
50,298.12914923321057,580.9194701968645,757.882673962981,646.8029478187756,497.16401157104275,251.72916887817988,181.1275464320096
51,361.93047579043065,618.6534841084544,870.9513909687519,730.7054007255126,487.20740558503957,244.20328200298337,231.27770541475002
52,393.0188974960719,612.6125485170487,951.1840297448546,781.0584496146481,487.73191720076574,350.6159321049985,308.2413231124188
53,515.333363064505,619.7589938887314,814.2969087854119,804.60047363343,699.825728095278,365.47216596668346,207.30776031821716
54,321.7667435267295,842.3854116261864,514.9559981740717,612.2313267210483,410.4046286012423,286.4674122987241,245.2048630006986
55,380.8042549169507,1017.7059108062774,818.0208790175006,652.465449069119,754.4048215621202,287.8548515323372,201.7744221922817
56,371.38771680444063,545.1859227261256,806.686607763857,583.8512966825012,501.61026484609505,240.16951162381048,187.7843854269406
57,299.02098565582537,640.2433071994744,650.743392968935,656.450306998873,424.2786152306042,439.9394734835973,163.20480928085374
58,496.88906697453854,663.3584891945392,832.8011544096468,534.3491568136953,620.6934652174031,431.53763003871944,180.5606826170588
59,417.53588403056636,719.6966428261401,553.6887317691602,587.88263002982,608.4689190897367,352.9656075272301,258.71893094092275
60,323.94401786961095,870.6077665045988,678.40679513314,562.8580861725311,532.670503891059,246.3167996014705,239.56973066935723
61,570.5572087554401,717.5266918321738,712.9764123278002,561.9410507228247,433.52075664686527,338.2653534561412,158.63267825327534
62,473.77504198153787,814.5393792447232,743.6446896389223,800.9482567697623,551.3313108883142,342.59497350165753,260.795821243266
63,560.0646767732308,705.1930106615686,579.4923129982898,630.201140553785,502.74647460479014,292.59757064666684,194.34943123419043
64,322.3397113016949,625.1199858795438,632.7524259515787,562.1597618471218,537.37861432555,356.3911659247481,241.90549809809158
